HoraRecogida,diaSemana,mes,Borough_id,q_demand
0,0,1,1.0,2.24
0,0,1,2.0,4.13
0,0,1,3.0,12.65
0,0,1,4.0,4.3
0,0,1,5.0,0.11
0,0,2,1.0,1.99
0,0,2,2.0,3.96
0,0,2,3.0,12.43
0,0,2,4.0,3.62
0,0,2,5.0,0.11
0,0,3,1.0,1.88
0,0,3,2.0,3.54
0,0,3,3.0,10.93
0,0,3,4.0,4.28
0,0,3,5.0,0.11
0,0,4,1.0,1.89
0,0,4,2.0,3.54
0,0,4,3.0,10.31
0,0,4,4.0,3.99
0,0,4,5.0,0.11
0,0,5,1.0,2.85
0,0,5,2.0,5.84
0,0,5,3.0,17.5
0,0,5,4.0,5.83
0,0,5,5.0,0.19
0,0,6,1.0,2.24
0,0,6,2.0,5.27
0,0,6,3.0,16.13
0,0,6,4.0,4.64
0,0,6,5.0,0.15
0,0,7,1.0,2.48
0,0,7,2.0,4.99
0,0,7,3.0,14.73
0,0,7,4.0,4.76
0,0,7,5.0,0.14
0,0,8,1.0,2.22
0,0,8,2.0,4.63
0,0,8,3.0,12.64
0,0,8,4.0,5.02
0,0,8,5.0,0.11
0,0,9,1.0,2.06
0,0,9,2.0,4.62
0,0,9,3.0,15.25
0,0,9,4.0,4.7
0,0,9,5.0,0.1
0,0,10,1.0,2.4
0,0,10,2.0,4.82
0,0,10,3.0,15.99
0,0,10,4.0,5.05
0,0,10,5.0,0.12
0,0,11,1.0,1.65
0,0,11,2.0,3.28
0,0,11,3.0,9.95
0,0,11,4.0,3.91
0,0,11,5.0,0.11
0,0,12,1.0,0.99
0,0,12,2.0,1.86
0,0,12,3.0,9.2
0,0,12,4.0,2.33
0,0,12,5.0,0.07
0,1,1,1.0,1.26
0,1,1,2.0,2.76
0,1,1,3.0,8.99
0,1,1,4.0,2.9
0,1,1,5.0,0.08
0,1,2,1.0,1.34
0,1,2,2.0,2.81
0,1,2,3.0,9.86
0,1,2,4.0,2.99
0,1,2,5.0,0.08
0,1,3,1.0,1.44
0,1,3,2.0,3.2
0,1,3,3.0,11.75
0,1,3,4.0,3.69
0,1,3,5.0,0.11
0,1,4,1.0,1.46
0,1,4,2.0,2.91
0,1,4,3.0,11.56
0,1,4,4.0,3.27
0,1,4,5.0,0.08
0,1,5,1.0,1.94
0,1,5,2.0,4.09
0,1,5,3.0,16.04
0,1,5,4.0,4.76
0,1,5,5.0,0.13
0,1,6,1.0,1.39
0,1,6,2.0,3.28
0,1,6,3.0,13.91
0,1,6,4.0,3.59
0,1,6,5.0,0.08
0,1,7,1.0,1.59
0,1,7,2.0,3.62
0,1,7,3.0,13.1
0,1,7,4.0,3.75
0,1,7,5.0,0.11
0,1,8,1.0,1.78
0,1,8,2.0,3.62
0,1,8,3.0,14.0
0,1,8,4.0,4.52
0,1,8,5.0,0.12
0,1,9,1.0,1.42
0,1,9,2.0,3.05
0,1,9,3.0,13.19
0,1,9,4.0,3.81
0,1,9,5.0,0.07
0,1,10,1.0,1.5
0,1,10,2.0,3.24
0,1,10,3.0,14.13
0,1,10,4.0,3.73
0,1,10,5.0,0.09
0,1,11,1.0,1.42
0,1,11,2.0,3.52
0,1,11,3.0,14.47
0,1,11,4.0,3.24
0,1,11,5.0,0.12
0,1,12,1.0,0.72
0,1,12,2.0,1.43
0,1,12,3.0,11.13
0,1,12,4.0,1.99
0,1,12,5.0,0.05
0,2,1,1.0,1.22
0,2,1,2.0,2.63
0,2,1,3.0,10.3
0,2,1,4.0,2.31
0,2,1,5.0,0.07
0,2,2,1.0,1.32
0,2,2,2.0,3.15
0,2,2,3.0,14.19
0,2,2,4.0,2.52
0,2,2,5.0,0.09
0,2,3,1.0,1.75
0,2,3,2.0,4.16
0,2,3,3.0,19.69
0,2,3,4.0,3.53
0,2,3,5.0,0.11
0,2,4,1.0,1.48
0,2,4,2.0,3.42
0,2,4,3.0,16.88
0,2,4,4.0,3.37
0,2,4,5.0,0.13
0,2,5,1.0,1.73
0,2,5,2.0,3.97
0,2,5,3.0,22.0
0,2,5,4.0,3.72
0,2,5,5.0,0.09
0,2,6,1.0,1.7
0,2,6,2.0,4.17
0,2,6,3.0,22.97
0,2,6,4.0,4.18
0,2,6,5.0,0.12
0,2,7,1.0,1.63
0,2,7,2.0,3.86
0,2,7,3.0,17.19
0,2,7,4.0,3.67
0,2,7,5.0,0.12
0,2,8,1.0,1.8
0,2,8,2.0,4.24
0,2,8,3.0,20.68
0,2,8,4.0,4.07
0,2,8,5.0,0.14
0,2,9,1.0,1.27
0,2,9,2.0,3.09
0,2,9,3.0,18.51
0,2,9,4.0,3.15
